report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2018-03-01,Historical,Rural,3,1.0,36.53333333333333,0,0.0
2018-04-01,Historical,Rural,9,0.7777777777777778,37.56666666666667,0,0.0
2018-05-01,Historical,Rural,7,1.2857142857142858,38.56666666666667,0,0.0
2018-06-01,Historical,Rural,2,0.0,39.6,0,0.0
2018-07-01,Historical,Rural,7,0.8571428571428571,40.6,0,0.0
2018-08-01,Historical,Rural,2,0.5,41.63333333333333,0,0.0
2018-09-01,Historical,Rural,3,0.0,42.666666666666664,0,0.0
2018-10-01,Historical,Rural,3,1.0,43.666666666666664,0,0.0
2018-11-01,Historical,Rural,8,1.375,44.7,0,0.0
2018-12-01,Historical,Rural,5,1.0,45.7,0,0.0
2019-01-01,Historical,Rural,0,,46.733333333333334,0,0.0
2019-02-01,Historical,Rural,5,1.4,47.766666666666666,0,0.0
2019-03-01,Historical,Rural,0,,48.7,0,0.0
2019-04-01,Historical,Rural,3,1.0,49.733333333333334,0,0.0
2019-05-01,Historical,Rural,5,0.8,50.733333333333334,0,0.0
2019-06-01,Historical,Rural,3,1.0,51.766666666666666,0,0.0
2019-07-01,Historical,Rural,3,2.0,52.766666666666666,0,0.0
2019-08-01,Historical,Rural,2,0.0,53.8,0,0.0
2019-09-01,Historical,Rural,3,1.0,54.833333333333336,0,0.0
2019-10-01,Historical,Rural,8,0.0,55.833333333333336,0,0.0
2019-11-01,Historical,Rural,0,,56.86666666666667,0,0.0
2019-12-01,Historical,Rural,0,,57.86666666666667,0,0.0
2020-01-01,Historical,Rural,2,0.0,58.9,1,58.9
2020-02-01,Historical,Rural,2,0.0,59.93333333333333,1,59.93333333333333
2020-03-01,Historical,Rural,3,0.6666666666666666,60.9,1,60.9
2020-04-01,Historical,Rural,2,1.0,61.93333333333333,1,61.93333333333333
2020-05-01,Historical,Rural,4,0.5,62.93333333333333,1,62.93333333333333
2020-06-01,Historical,Rural,3,0.0,63.96666666666667,1,63.96666666666667
2020-07-01,Historical,Rural,3,1.0,64.96666666666667,1,64.96666666666667
2020-08-01,Historical,Rural,4,0.0,66.0,1,66.0
2020-09-01,Historical,Rural,0,,67.03333333333333,1,67.03333333333333
2020-10-01,Historical,Rural,0,,68.03333333333333,1,68.03333333333333
